title,author,is_loaned,copies,genre,year,copies_available,waiting_list,loaned_count
1984,George Orwell,Yes,5,Dystopian,1949,0,empty,5
A Game of Thrones,George R.R. Martin,Yes,5,Fantasy,1996,0,empty,5
The Hobbit,J.R.R. Tolkien,Yes,4,Fantasy,1937,0,empty,4
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,Fantasy,2006,0,empty,4
Pride and Prejudice,Jane Austen,Yes,3,Romance,1813,0,empty,3
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987,0,empty,3
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899,0,empty,3
To Kill a Mockingbird,Harper Lee,Yes,2,Fiction,1960,0,empty,2
Anna Karenina,Leo Tolstoy,Yes,2,Fiction,1877,0,empty,2
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,Science Fiction,1969,0,empty,2
